[-1.000000 1.000000] -> [0.290408], y = 1.000000, delta = -0.709592 
[-1.000000 -1.000000] -> [0.662317], y = -1.000000, delta = 1.662317 
[1.000000 1.000000] -> [-0.232791], y = -1.000000, delta = 0.767209 
[1.000000 -1.000000] -> [-0.728892], y = 1.000000, delta = -1.728892 
[-1.000000 1.000000] -> [0.288373], y = 1.000000, delta = -0.711627 
[-1.000000 -1.000000] -> [0.653548], y = -1.000000, delta = 1.653548 
[1.000000 1.000000] -> [-0.223828], y = -1.000000, delta = 0.776172 
[1.000000 -1.000000] -> [-0.728141], y = 1.000000, delta = -1.728141 
[-1.000000 1.000000] -> [0.286113], y = 1.000000, delta = -0.713887 
[-1.000000 -1.000000] -> [0.643175], y = -1.000000, delta = 1.643175 
[1.000000 1.000000] -> [-0.213370], y = -1.000000, delta = 0.786630 
[1.000000 -1.000000] -> [-0.727228], y = 1.000000, delta = -1.727228 
[-1.000000 1.000000] -> [0.283592], y = 1.000000, delta = -0.716408 
[-1.000000 -1.000000] -> [0.630814], y = -1.000000, delta = 1.630814 
[1.000000 1.000000] -> [-0.201073], y = -1.000000, delta = 0.798927 
[1.000000 -1.000000] -> [-0.726092], y = 1.000000, delta = -1.726092 
[-1.000000 1.000000] -> [0.280760], y = 1.000000, delta = -0.719240 
[-1.000000 -1.000000] -> [0.615975], y = -1.000000, delta = 1.615975 
[1.000000 1.000000] -> [-0.186502], y = -1.000000, delta = 0.813498 
[1.000000 -1.000000] -> [-0.724647], y = 1.000000, delta = -1.724647 
[-1.000000 1.000000] -> [0.277563], y = 1.000000, delta = -0.722437 
[-1.000000 -1.000000] -> [0.598032], y = -1.000000, delta = 1.598032 
[1.000000 1.000000] -> [-0.169105], y = -1.000000, delta = 0.830895 
[1.000000 -1.000000] -> [-0.722771], y = 1.000000, delta = -1.722771 
[-1.000000 1.000000] -> [0.273936], y = 1.000000, delta = -0.726064 
[-1.000000 -1.000000] -> [0.576185], y = -1.000000, delta = 1.576185 
[1.000000 1.000000] -> [-0.148187], y = -1.000000, delta = 0.851813 
[1.000000 -1.000000] -> [-0.720282], y = 1.000000, delta = -1.720282 
[-1.000000 1.000000] -> [0.269804], y = 1.000000, delta = -0.730196 
[-1.000000 -1.000000] -> [0.549422], y = -1.000000, delta = 1.549422 
[1.000000 1.000000] -> [-0.122878], y = -1.000000, delta = 0.877122 
[1.000000 -1.000000] -> [-0.716913], y = 1.000000, delta = -1.716913 
[-1.000000 1.000000] -> [0.265092], y = 1.000000, delta = -0.734908 
[-1.000000 -1.000000] -> [0.516468], y = -1.000000, delta = 1.516468 
[1.000000 1.000000] -> [-0.092114], y = -1.000000, delta = 0.907886 
[1.000000 -1.000000] -> [-0.712279], y = 1.000000, delta = -1.712279 
[-1.000000 1.000000] -> [0.259737], y = 1.000000, delta = -0.740263 
[-1.000000 -1.000000] -> [0.475751], y = -1.000000, delta = 1.475751 
[1.000000 1.000000] -> [-0.054634], y = -1.000000, delta = 0.945366 
[1.000000 -1.000000] -> [-0.705821], y = 1.000000, delta = -1.705821 
[-1.000000 1.000000] -> [0.253728], y = 1.000000, delta = -0.746272 
[-1.000000 -1.000000] -> [0.425376], y = -1.000000, delta = 1.425376 
[1.000000 1.000000] -> [-0.009025], y = -1.000000, delta = 0.990975 
[1.000000 -1.000000] -> [-0.696757], y = 1.000000, delta = -1.696757 
[-1.000000 1.000000] -> [0.247172], y = 1.000000, delta = -0.752828 
[-1.000000 -1.000000] -> [0.363162], y = -1.000000, delta = 1.363162 
[1.000000 1.000000] -> [0.046147], y = -1.000000, delta = 1.046147 
[1.000000 -1.000000] -> [-0.684049], y = 1.000000, delta = -1.684049 
[-1.000000 1.000000] -> [0.240429], y = 1.000000, delta = -0.759571 
[-1.000000 -1.000000] -> [0.286776], y = -1.000000, delta = 1.286776 
[1.000000 1.000000] -> [0.112057], y = -1.000000, delta = 1.112057 
[1.000000 -1.000000] -> [-0.666431], y = 1.000000, delta = -1.666431 
[-1.000000 1.000000] -> [0.234308], y = 1.000000, delta = -0.765692 
[-1.000000 -1.000000] -> [0.194049], y = -1.000000, delta = 1.194049 
[1.000000 1.000000] -> [0.189173], y = -1.000000, delta = 1.189173 
[1.000000 -1.000000] -> [-0.642597], y = 1.000000, delta = -1.642597 
[-1.000000 1.000000] -> [0.230277], y = 1.000000, delta = -0.769723 
[-1.000000 -1.000000] -> [0.083604], y = -1.000000, delta = 1.083604 
[1.000000 1.000000] -> [0.276631], y = -1.000000, delta = 1.276631 
[1.000000 -1.000000] -> [-0.611630], y = 1.000000, delta = -1.611630 
[-1.000000 1.000000] -> [0.230501], y = 1.000000, delta = -0.769499 
[-1.000000 -1.000000] -> [-0.044087], y = -1.000000, delta = 0.955913 
[1.000000 1.000000] -> [0.371605], y = -1.000000, delta = 1.371605 
[1.000000 -1.000000] -> [-0.573654], y = 1.000000, delta = -1.573654 
[-1.000000 1.000000] -> [0.237343], y = 1.000000, delta = -0.762657 
[-1.000000 -1.000000] -> [-0.185224], y = -1.000000, delta = 0.814776 
[1.000000 1.000000] -> [0.468947], y = -1.000000, delta = 1.468947 
[1.000000 -1.000000] -> [-0.530450], y = 1.000000, delta = -1.530450 
[-1.000000 1.000000] -> [0.252177], y = 1.000000, delta = -0.747823 
[-1.000000 -1.000000] -> [-0.331474], y = -1.000000, delta = 0.668526 
